Carrera,Sexo,FechaNacimiento,Edad,Semestre,AsignaturasCursadas,AsignaturasAprobadas,CreditosCursados,CreditosAprobados,PromedioUltimoPeriodo,PromedioAcumulado,Duracion,Estado
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/04/1985,32,10,25,25,25,25,4.25,4.25,5,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,08/04/1990,27,3,14,11,47,37,2.904,3.134,2,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/09/1986,31,2,8,7,27,24,3.232,3.7,1,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/05/1987,30,4,29,24,99,82,2.668,3.276,6,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/11/1982,35,1,6,6,18,18,3.5,3.5,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/10/1979,38,10,11,5,11,5,1.166,3.208,3,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,06/09/1983,34,4,23,20,63,55,3.466,3.572,4,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/12/1981,35,9,41,41,115,115,4.721,4.295,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/11/1996,21,3,8,5,27,17,3.532,4.014,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,05/05/1986,31,10,60,58,178,171,4.517,3.953,11,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/03/1980,37,1,6,5,18,15,3.533,3.533,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,05/08/1986,31,1,12,3,34,9,0.431,1.417,1,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/04/1985,32,5,35,30,97,83,4.196,3.747,14,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,10/03/1991,26,8,41,39,136,130,4.05,3.598,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,22/06/1982,35,7,40,39,135,134,4.393,3.965,8,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,26/06/1983,34,8,44,44,146,146,3.907,4.012,8,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,08/06/1997,20,3,17,15,57,50,3.608,3.411,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,11/02/1975,42,1,5,5,5,5,3.5,3.5,0,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,01/01/1959,58,10,10,10,11,11,3.706,3.735,1,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,30/08/1975,42,9,38,38,104,104,4.32,4.125,7,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,17/09/1984,33,6,44,26,113,69,2.315,2.904,8,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,01/12/1992,24,1,5,0,17,0,1.768,1.768,0,DESERTOR
