Carrera,Sexo,FechaNacimiento,Edad,Semestre,AsignaturasCursadas,AsignaturasAprobadas,CreditosCursados,CreditosAprobados,PromedioUltimoPeriodo,PromedioAcumulado,Duracion,Estado
INGENIERÍA DE SISTEMAS,Masculino,09/05/1991,26,1,10,5,26,12,2.247,2.555,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,15/06/1983,34,10,39,30,114,82,3.5,3.5,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,15/09/1992,25,5,48,30,150,93,3.038,3.091,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,15/08/1990,27,8,29,22,92,70,3.475,3.609,6,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,10/10/2005,12,10,38,34,111,97,4,4,11,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,02/12/1995,21,3,21,10,68,31,0.635,2.232,4,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,10/12/1985,31,1,5,0,16,0,1.538,1.538,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/02/1987,30,6,50,30,156,93,3.025,3,12,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,07/04/1988,29,10,56,40,161,113,0,0,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,29/01/1983,34,7,39,16,114,46,3.25,3.132,15,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,25/07/1989,28,1,9,5,24,13,3.325,3.144,1,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,25/02/1991,26,3,5,0,15,0,0.36,3.02,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,01/05/1989,28,10,40,39,115,110,0,0,9,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,01/01/2000,17,10,46,35,118,91,3.25,3.455,10,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,20/09/1979,38,10,22,19,65,51,3.8,3.554,4,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,24/10/1985,32,10,32,28,89,77,3.1,3.451,7,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,13/09/1977,40,7,44,26,134,79,2.25,3.144,17,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,09/04/1987,30,5,17,12,51,35,2.977,3.055,3,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,25/09/1990,27,9,57,56,157,154,3.5,3.5,11,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,14/02/1988,29,1,6,0,16,0,1.319,1.319,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,03/11/1995,22,1,9,2,29,6,1.685,2.247,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,14/06/1980,37,6,19,10,51,26,1.203,3.115,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,05/05/1983,34,7,13,8,36,23,2.35,3.5,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/05/1985,32,4,21,18,66,57,3.317,3.5,6,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,11/07/1988,29,1,6,1,16,2,2.019,2.019,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,18/04/1991,26,1,18,6,49,17,0.918,1.412,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/06/1990,27,2,6,6,18,18,3.925,3.506,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,10/06/1985,32,10,11,8,11,8,3.385,3.321,3,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,27/06/1976,41,10,71,34,207,98,3.55,3.02,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,28/05/1979,38,10,64,60,181,167,4.32,3.584,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,28/05/1979,38,10,64,60,181,167,4,4,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,13/05/1990,27,9,43,40,116,107,3.7,3.55,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,09/08/1991,26,6,67,28,204,84,0.827,2.556,15,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,10/03/1989,28,10,53,47,150,133,0,0,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,01/03/1989,28,5,57,24,175,72,2.5,2.217,16,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,11/01/1996,21,1,4,4,13,13,3.588,3.588,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,23/09/1993,24,10,66,55,183,151,2.4,3.405,11,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,23/09/1984,33,4,20,9,56,23,1.575,2.829,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,22/07/1989,28,9,64,42,190,122,2.517,3.021,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,02/11/1994,23,9,54,48,164,146,4.05,3.485,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,02/11/1994,23,9,54,48,164,146,3.5,3.5,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,09/06/1987,30,7,46,34,144,106,2.733,3.292,10,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,03/05/1987,30,7,43,20,129,59,1.65,2.837,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,06/04/1987,30,5,15,7,49,24,1.881,3.452,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,24/04/1988,29,3,8,3,27,9,2.3,3.038,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,29/02/1988,29,9,55,55,156,156,4,4,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,13/01/1999,18,1,2,0,7,0,1.15,2.697,0,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,11/08/1990,27,4,6,6,20,20,3.915,4.273,1,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,31/08/1989,28,9,54,42,158,123,1.683,3.167,12,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,14/02/1986,31,6,29,28,84,81,3.467,3.727,6,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,30/07/1984,33,10,5,4,5,4,3.6,3.361,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,04/04/1976,41,10,9,7,9,7,3,3,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,04/04/1976,41,10,9,7,9,7,4.133,3.734,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,06/06/1978,39,10,37,30,104,83,2.75,3.441,15,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,31/08/1988,29,10,41,36,114,100,4.7,3.391,8,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,17/12/1998,18,1,4,4,13,13,3.569,3.569,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,03/11/1992,25,5,39,26,116,77,3.517,3.197,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,22/09/1984,33,6,29,10,85,28,0.25,2.474,10,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,20/04/1994,23,10,61,58,168,159,4.368,4.368,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,20/04/1994,23,10,61,58,168,159,4,3.884,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,03/01/1990,27,2,17,13,45,32,3.013,3.18,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,25/03/1991,26,1,2,0,6,0,1.05,1.05,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,17/08/1991,26,1,6,3,19,9,2.745,2.745,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,11/04/1998,19,4,7,6,22,19,3.542,3.399,89,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,11/04/1998,19,2,17,13,56,42,3.5,3.346,2,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,02/12/1985,31,10,15,13,15,13,3.4,3.347,3,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,03/04/1999,18,1,5,3,16,9,2.688,2.688,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,21/03/1989,28,4,27,17,80,49,2.6,3.149,6,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,28/12/1990,26,10,60,54,171,154,3.9,3.9,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,26/10/1993,24,1,4,4,13,13,3.635,3.635,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,29/01/1990,27,1,12,6,34,15,2.728,2.885,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,23/04/1994,23,7,27,21,85,66,1.304,3.411,6,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,12/08/1992,25,4,8,4,26,12,1.215,3.014,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/03/1997,20,1,5,1,16,3,2.328,2.328,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,17/05/1993,24,3,17,11,54,34,1.265,2.738,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,01/07/1991,26,10,50,47,153,145,3.5,3.783,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,09/01/1989,28,9,72,53,209,154,3.517,3.061,15,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,24/02/1984,33,1,4,4,11,11,3.655,3.655,0,DESERTOR
